Company Name
Cargotec Oyj
Citycon Oyj
Elisa Oyj
Fortum Oyj
Fiskars Oyj Abp
Huhtamäki Oyj
Konecranes Oyj
Kemira Oyj
Kesko Oyj A
Kesko Oyj B
KONE Oyj
Kojamo Oyj
Mandatum
Metsä Board Oyj A
Metsä Board Oyj B
Metso Oyj
Nordea Bank Abp
Neste Oyj
Nokia Oyj
Orion Oyj A
Orion Oyj B
Outokumpu Oyj
Qt Group Oyj
Revenio Group Oyj
Sampo Oyj A
Sanoma Oyj
SSAB A
SSAB B
Stora Enso Oyj A
Stora Enso Oyj R
Telia Company
TietoEVRY Oyj
Nokian Renkaat Oyj
UPM-Kymmene Oyj
Uponor Oyj
Vaisala Oyj A
Valmet Oyj
Wärtsilä Oyj Abp
Aktia Bank Abp
Ålandsbanken Abp A
Ålandsbanken Abp B
Alma Media Oyj
Anora Group Oyj
Aspo Oyj
Atria Oyj A
Bittium Oyj
CapMan Oyj
Caverion Oyj
Digia Oyj
Enento Group Oyj
eQ Oyj
Etteplan Oyj
Evli Oyj
Finnair Oyj
F-Secure Oyj
Gofore Oyj
Harvia Oyj
Incap Oyj
Kamux Oyj
Lassila & Tikanoja Oyj
Marimekko Oyj
Musti Group Oyj
NoHo Partners Oyj
Oriola Oyj A
Oriola Oyj B
Olvi Oyj A
Oma Säästöpankki Oyj
Pihlajalinna Oyj
Ponsse Oyj 1
Purmo Group Oyj C
Puuilo Oyj
Raisio Oyj Vaihto-osake
Rapala VMC Oyj
Relais Group Oyj
Remedy Entertainment Oyj
Scanfil Oyj
Sitowise Group Oyj
Stockmann Oyj Abp
Suominen Oyj
Taaleri Oyj
AS Tallink Grupp FDR
Tecnotree Oyj
Talenom Oyj
Tokmanni Group Oyj
Terveystalo Oyj
Viking Line Abp
WithSecure Oyj
YIT Oyj
Aspocomp Group Oyj
Afarak Group
Alisa Pankki Oyj
Apetit Oyj
Biohit Oyj B
Boreo Oyj
Consti Oyj
Componenta Oyj
Digitalist Group Oyj
Dovre Group Oyj
Eezy Oyj
Elecster Oyj A
Enersense International Oyj
Exel Composites Oyj
Glaston Oyj Abp
HKScan Oyj A
Honkarakenne Oyj B
Innofactor Plc
Ilkka Oyj 2
Investors House Oyj
Kesla Oyj A
KH Group Oyj
Koskisen Oyj
Kreate Group Oyj
Keskisuomalainen Oyj A
Lamor Corporation Oyj
Lehto Group Oyj
Martela Oyj A
Nurminen Logistics Oyj
Optomed Oyj
Orthex Oyj
Ovaro Kiinteistösijoitus Oyj
Endomines Finland Oyj
Panostaja Oyj
PunaMusta Media Oyj
QPR Software Oyj
Raute Oyj
Reka Industrial Oyj
Robit Oyj
Saga Furs Oyj C
Siili Solutions Oyj
Solteq Oyj
Sotkamo Silver AB
SRV Yhtiöt Oyj
SSH Communications Security
Teleste Oyj
Trainers´ House Oyj
Tulikivi Oyj A
United Bankers Oyj
Valoe Oyj
Verkkokauppa.com Oyj
Wetteri Oyj
Wulff-Yhtiöt Oyj
